num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2026S000014;01/01/2026;6:33:00;PLAZA. EMPERADOR CARLOS V, 10;10;1;CENTRO;Caída;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;441237;4473349;N;
2026S000345;02/01/2026;13:15:00;AVDA. CIUDAD DE BARCELONA, 59;59;3;RETIRO;Colisión lateral;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;442587;4472627;N;
2026S000359;02/01/2026;14:55:00;PASEO. ESPERANZA, 37;37;2;ARGANZUELA;Caída;Lluvia débil;Bicicleta;Conductor;De 21 a 24 años;Mujer;2;Ingreso inferior o igual a 24 horas;440305;4472355;N;
2026S000360;02/01/2026;14:55:00;AVDA. LLANO CASTELLANO, 51;51;5;CHAMARTÍN;Colisión fronto-lateral;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441918;4482254;N;
2026S000365;02/01/2026;15:45:00;CALL. VIA CARPETANA, 45;45;11;CARABANCHEL;Colisión fronto-lateral;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 10 a 14 años;Hombre;14;Sin asistencia sanitaria;437717;4472313;N;
2026S000574;02/01/2026;23:00:00;CALL. CASTILLA / CALL. GOIRI;10;6;TETUÁN;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440311;4478265;N;
2026S001032;04/01/2026;2:20:00;CALL. ARGUMOSA, 32;32;1;CENTRO;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;2;Ingreso inferior o igual a 24 horas;440972;4473185;N;
2026S001101;04/01/2026;5:45:00;CALL. VELAZQUEZ / CALL. JUAN BRAVO;90;4;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;2;Ingreso inferior o igual a 24 horas;442033;4476012;N;
2026S001159;04/01/2026;12:50:00;CASA DE CAMPO (CERRO GARABITAS);0;9;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;De 65 a 69 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;435899;4476246;N;
2026S001171;04/01/2026;13:27:00;CALL. ALBERTO AGUILERA, 30;30;7;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439744;4475739;N;
2026S001493;05/01/2026;14:10:00;CALL. PUERTO DE LA BONAIGUA, 56;56;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443487;4470773;N;
2026S001531;05/01/2026;15:40:00;CALL. MARTINEZ DE LA RIVA, 11;11;13;PUENTE DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;443355;4471834;N;
2026S001602;05/01/2026;18:31:00;CALL. MATEO INURRIA / CALLE DEL RODRIGUEZ JAEN;19;5;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442185;4479861;N;
2026S001939;07/01/2026;10:40:00;CALL. SANTA ISABEL, 28;28;1;CENTRO;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440744;4473606;N;
2026S002165;07/01/2026;16:05:00;CALL. PINOS DE OSUNA / CALL. BALANDRO;2;21;BARAJAS;Caída;Despejado;Bicicleta;Conductor;Más de 74 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;449740;4478166;N;
2026S002239;07/01/2026;19:00:00;AVDA. ENSANCHE DE VALLECAS / AUTOV. M-45;44;18;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;448483;4468658;N;
2026S002513;08/01/2026;7:30:00;AVDA. INGENIERO EMILIO HERRERA / PLAZA. ALCALDE MORENO TORRES;5;16;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;1;Atención en urgencias sin posterior ingreso;444431;4482282;N;
2026S002515;08/01/2026;7:50:00;GTA. PUENTE DE SEGOVIA / pso marques de monistrol;1;10;LATINA;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;438576;4473962;N;
2026S002974;08/01/2026;21:57:00;AVDA. ALBUFERA, 303;303;13;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;446193;4470666;N;
2026S003184;09/01/2026;11:00:00;CTRA. CARABANCHEL A VILLAVERDE / CALL. PUEBLA DE SANABRIA;82;17;VILLAVERDE;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 40 a 44 años;Hombre;1;Atención en urgencias sin posterior ingreso;439818;4467144;N;
2026S003226;09/01/2026;13:30:00;CALL. DOCTOR ESQUERDO, 130;130;3;RETIRO;Alcance;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;1;Atención en urgencias sin posterior ingreso;443125;4473161;N;
2026S003290;09/01/2026;16:00:00;CALL. CONVENIO / CALL. EMILIO RABOSO;7;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;1;Atención en urgencias sin posterior ingreso;442927;4471629;N;
2026S003506;09/01/2026;20:00:00;PASEO. ERMITA DEL SANTO, 76;76;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;437952;4472310;N;
2026S003510;09/01/2026;20:25:00;CALL. CANARIAS / PASEO. DELICIAS;21;2;ARGANZUELA;Otro;Se desconoce;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;;;441130;4472573;N;
2026S003542;09/01/2026;21:00:00;CALL. PALMA / CALL. SAN ANDRES;27;1;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;;;440301;4475314;N;
2026S003960;10/01/2026;18:43:00;PASEO. DELICIAS / CALL. ENRIQUE TROMPETA;142;2;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;14;Sin asistencia sanitaria;441016;4471559;N;
2026S003960;10/01/2026;18:43:00;PASEO. DELICIAS / CALL. ENRIQUE TROMPETA;142;2;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Peatón;De 60 a 64 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441016;4471559;N;
2026S003998;10/01/2026;20:27:00;CALL. COLEGIATA, 17;17;1;CENTRO;Otro;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440014;4473857;N;
2026S004296;11/01/2026;8:14:00;CALL. JORGE JUAN / CALL. MAIQUEZ;104;4;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;3;Ingreso superior a 24 horas;442934;4474948;N;
2026S004332;11/01/2026;9:15:00;CALL. MONASTERIO DE ARLANZA, 13;13;8;FUENCARRAL-EL PARDO;Alcance;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441774;4484366;N;
2026S004473;11/01/2026;22:00:00;CALL. SIERRA DE MONCHIQUE, 23;23;13;PUENTE DE VALLECAS;Otro;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;443390;4471558;N;
2026S004679;12/01/2026;14:15:00;CALL. FERNANDEZ DE LOS RIOS, 24;24;7;CHAMBERÍ;Alcance;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Mujer;;;440080;4476279;N;
2026S005468;13/01/2026;21:15:00;CALL. CARRANQUE / CALL. CAZALEGAS;28;11;CARABANCHEL;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;438214;4469672;N;
2026S005510;13/01/2026;16:08:00;CMNO. GANAPANES / AVDA. MONFORTE DE LEMOS;1A;8;FUENCARRAL-EL PARDO;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Mujer;;;439286;4481009;N;
2026S005814;14/01/2026;15:30:00;PASEO. CASTELLANA / GTA. EMILIO CASTELAR;52;4;SALAMANCA;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;441588;4476319;N;
2026S005960;14/01/2026;20:48:00;CALL. GRAN VIA / CALL. SAN BERNARDO;56;1;CENTRO;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;1;Atención en urgencias sin posterior ingreso;439954;4474781;N;
2026S005994;14/01/2026;21:30:00;CALL. RIOS ROSAS / CALL. MODESTO LAFUENTE;55;7;CHAMBERÍ;Colisión lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;440973;4477026;N;
2026S006725;15/01/2026;22:40:00;AVDA. ASTURIAS / CALL. PINOS BAJA;75;6;TETUÁN;Alcance;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;440710;4480382;N;
2026S007037;16/01/2026;18:00:00;AVDA. PORTUGAL, 95;95;10;LATINA;Colisión lateral;Nublado;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;437888;4473906;N;
2026S007139;16/01/2026;18:50:00;CALL. LADERA DE LOS ALMENDROS / CALL. RAYA;19;19;VICÁLVARO;Atropello a persona;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 15 a 17 años;Hombre;14;Sin asistencia sanitaria;447177;4472522;N;
2026S007139;16/01/2026;18:50:00;CALL. LADERA DE LOS ALMENDROS / CALL. RAYA;19;19;VICÁLVARO;Atropello a persona;Despejado;Bicicleta EPAC (pedaleo asistido);Peatón;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;447177;4472522;N;
2026S007185;16/01/2026;23:00:00;AVDA. DONOSTIARRA, 19;19;15;CIUDAD LINEAL;Alcance;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;444271;4476222;N;
2026S007215;17/01/2026;0:15:00;CALL. AMOR HERMOSO / CALL. DOLORES BARRANCO;10;12;USERA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440281;4470562;N;
2026S007268;17/01/2026;1:17:00;AVDA. PLANETARIO / km 1,6;16;2;ARGANZUELA;Colisión frontal;Lluvia débil;Bicicleta;Conductor;De 30 a 34 años;Hombre;;;441886;4471442;N;
2026S007291;17/01/2026;4:40:00;CALL. ALCALA, 115;115;4;SALAMANCA;Alcance;Lluvia débil;Bicicleta;Conductor;De 21 a 24 años;Hombre;3;Ingreso superior a 24 horas;442016;4474702;N;
2026S007328;17/01/2026;5:15:00;CALL. JUAN BRAVO / CALL. SERRANO;2;4;SALAMANCA;Colisión fronto-lateral;LLuvia intensa;Bicicleta;Conductor;De 21 a 24 años;Hombre;3;Ingreso superior a 24 horas;441758;4476038;S;
